0,1,2,3,4,5,6,7,8,9,10,11
0.7208303793649596,0.20096387359529375,0.11046760690851498,0.2927890489478845,0.29720114639113054,0.2130236066068331,0.26321366618900366,0.17126555547175504,0.1748178595670865,0.2625869220906554,0.1662274681348518,0.14539633456520099
0.751513698630137,0.08061491628614915,0.08439117199391173,0.07480669710806698,0.06445890410958904,0.06073668188736682,0.04474885844748858,0.05862252663622526,0.055138508371385085,0.04497945205479452,0.035552511415525116,
0.6123966211570573,0.09795894312935861,0.09835477850898733,0.09293880758275219,0.07956389352715842,0.0523425989588449,0.04779982320007858,0.12240742559669973,0.0815872704056576,0.036904036931539146,,
0.7397749042145594,0.22153256704980842,0.1263547653256705,0.6249359434865901,0.07713601532567049,0.11434686302681991,0.05788074712643678,0.0294169061302682,0.02505806992337165,,,
0.7068683835700812,0.14666166223967356,0.05108442083381453,0.04073026138507141,0.040168995649998075,0.03934980944681834,0.022285483312160757,0.025249258959849096,,,,
0.6067157222548444,0.09790002935995303,0.04928251614797416,0.05026167058132707,0.04069069289489137,0.025969979448032882,0.025638578978273634,,,,,
0.6671283837264524,0.06882341301250594,0.166150862751306,0.20277900902327053,0.05768442298559443,0.07052912775051448,,,,,,
0.4683968352192362,0.08626679632248939,0.051483380480905234,0.01352015558698727,0.023314621640735503,,,,,,,
0.5186570257241969,0.08940217146461234,0.029877460918142095,0.040591521376762627,,,,,,,,
0.583388702705328,0.04779251056389334,0.037630288017873624,,,,,,,,,
0.5120516901139474,0.11704946209179451,,,,,,,,,,
0.6788522228769724,0.00022392457277548616,,,,,,,,,,
